id;entitled;suggestions;answer
1;a;Koweït Cambridgeshire incremental;withdrawal Ferronnerie Plastic
2;Granite Investment;Ergonomic USB input;ubiquitous
3;Buckinghamshire Fish;Gorgeous;drive
4;a open-source;utilize;withdrawal
5;Market transmit utilisation;Awesome ivory;web-readiness facilitate orchid
6;back;red Account de;payment calculate Practical
7;Electronics firewall;asynchronous de;Pound Mouse vortals
8;De-engineered green Down-sized;functionalities zero reintermediate;Bike system Riyal
9;loyalty;b;transmitting Bedfordshire
10;sensor;Clothing Stagiaire Kip;Granite
